gebruikersnaam,voornaam,naam,basisrol,vestiging,leerjaar,e-mail,wachtwoord
elena.jacobs,Elena,Jacobs,leerling,Gent,2A,elena.jacobs@keerpuntscholen.be,b73jYRIS
flo.jacobs,Flo,Jacobs,leerling,Oudenaarde,3A,flo.jacobs@keerpuntscholen.be,RNf8pn9z
julia.jacobs,Julia,Jacobs,leerling,Brussel,4A,julia.jacobs@keerpuntscholen.be,2nYOtIXi
luna.jacobs,Luna,Jacobs,leerling,Geraardsbergen,4A,luna.jacobs@keerpuntscholen.be,oatS9SZn
amelia.janssens,Amelia,Janssens,leerling,Hasselt,2A,amelia.janssens@keerpuntscholen.be,Ua896Pj4
august.janssens,August,Janssens,leerling,Herselt,1B,august.janssens@keerpuntscholen.be,d8zBp9TX
eloise.janssens,Eloïse,Janssens,leerling,Houthalen,2A,eloise.janssens@keerpuntscholen.be,80OWrEpX
gabriel.janssens,Gabriel,Janssens,leerling,Mol,1A,gabriel.janssens@keerpuntscholen.be,hwRl7gGu
hamza.janssens,Hamza,Janssens,leerling,Turnhout,2A,hamza.janssens@keerpuntscholen.be,x5WuWQq3
jack.janssens,Jack,Janssens,leerling,Gent,5A,jack.janssens@keerpuntscholen.be,dH9zU1E5
leonie.janssens,Leonie,Janssens,leerling,Oudenaarde,2A,leonie.janssens@keerpuntscholen.be,h6urARRB
millie.janssens,Millie,Janssens,leerling,Brussel,1A,millie.janssens@keerpuntscholen.be,oh2Sxupn
oscar.janssens,Oscar,Janssens,leerling,Geraardsbergen,1A,oscar.janssens@keerpuntscholen.be,CspVn4Zp
alexander.lambert,Alexander,Lambert,leerling,Hasselt,1B,alexander.lambert@keerpuntscholen.be,bBHG4Pf4
david.lambert,David,Lambert,leerling,Herselt,4A,david.lambert@keerpuntscholen.be,3OkCkvL6
ida.lambert,Ida,Lambert,leerling,Houthalen,1B,ida.lambert@keerpuntscholen.be,h2Ht1rL2
mats.lambert,Mats,Lambert,leerling,Mol,4A,mats.lambert@keerpuntscholen.be,3A9vvHgw
victor.lambert,Victor,Lambert,leerling,Turnhout,3A,victor.lambert@keerpuntscholen.be,oxO13iRx
aya.maes,Aya,Maes,leerling,Gent,3A,aya.maes@keerpuntscholen.be,vg5e9Oy3
elias.maes,Elias,Maes,leerling,Oudenaarde,2A,elias.maes@keerpuntscholen.be,p1lVVg2A
estelle.maes,Estelle,Maes,leerling,Brussel,4A,estelle.maes@keerpuntscholen.be,Ty1EjtpY
ibrahim.maes,Ibrahim,Maes,leerling,Geraardsbergen,2B,ibrahim.maes@keerpuntscholen.be,kJT6nnDs
liam.maes,Liam,Maes,leerling,Hasselt,1B,liam.maes@keerpuntscholen.be,lTg8pKr1
mauro.maes,Mauro,Maes,leerling,Herselt,3A,mauro.maes@keerpuntscholen.be,Etn7UUI8
mia.maes,Mia,Maes,leerling,Houthalen,2A,mia.maes@keerpuntscholen.be,vZdr1BKT
noe.maes,Noé,Maes,leerling,Mol,4A,noe.maes@keerpuntscholen.be,kNArIxG7
finn.martens,Finn,Martens,leerling,Turnhout,2A,finn.martens@keerpuntscholen.be,k2QD98O3
jeanne.martens,Jeanne,Martens,leerling,Gent,4A,jeanne.martens@keerpuntscholen.be,6P8Cs8tR
lou.martens,Lou,Martens,leerling,Oudenaarde,6A,lou.martens@keerpuntscholen.be,aAKcrF1s
loic.martens,Loïc,Martens,leerling,Brussel,6A,loic.martens@keerpuntscholen.be,ZF4sHwPj
noor.martens,Noor,Martens,leerling,Geraardsbergen,1A,noor.martens@keerpuntscholen.be,3OrS6Toc
renee.martens,Renée,Martens,leerling,Hasselt,5A,renee.martens@keerpuntscholen.be,VIKkmYJ9
eloise.mertens,Eloïse,Mertens,leerling,Herselt,6A,eloise.mertens@keerpuntscholen.be,lVrW2E8c
gabriel.mertens,Gabriel,Mertens,leerling,Houthalen,1A,gabriel.mertens@keerpuntscholen.be,NskPv1d8
jade.mertens,Jade,Mertens,leerling,Mol,6A,jade.mertens@keerpuntscholen.be,c05eGQ1z
jeanne.mertens,Jeanne,Mertens,leerling,Turnhout,5A,jeanne.mertens@keerpuntscholen.be,X0KzbJWS
juliette.mertens,Juliette,Mertens,leerling,Gent,6A,juliette.mertens@keerpuntscholen.be,0gA6dK3q
lea.mertens,Lea,Mertens,leerling,Oudenaarde,3A,lea.mertens@keerpuntscholen.be,HDw3Ixr3
liam.mertens,Liam,Mertens,leerling,Brussel,2B,liam.mertens@keerpuntscholen.be,MHEqVRz7
mia.mertens,Mia,Mertens,leerling,Geraardsbergen,6A,mia.mertens@keerpuntscholen.be,OoWJy3zm
theo.mertens,Theo,Mertens,leerling,Hasselt,1B,theo.mertens@keerpuntscholen.be,4Qu0BzZV
alice.michiels,Alice,Michiels,leerling,Herselt,6A,alice.michiels@keerpuntscholen.be,6f7nXBIi
arthur.michiels,Arthur,Michiels,leerling,Houthalen,2B,arthur.michiels@keerpuntscholen.be,zefLsoU7
oliver.michiels,Oliver,Michiels,leerling,Mol,4A,oliver.michiels@keerpuntscholen.be,qnVYh7kO
amelia.pauwels,Amelia,Pauwels,leerling,Turnhout,5A,amelia.pauwels@keerpuntscholen.be,IcZ4bd5v
anna.pauwels,Anna,Pauwels,leerling,Gent,4A,anna.pauwels@keerpuntscholen.be,UyF7wBSc
georges.pauwels,Georges,Pauwels,leerling,Oudenaarde,2A,georges.pauwels@keerpuntscholen.be,DhPdEsT6
maurice.pauwels,Maurice,Pauwels,leerling,Brussel,1B,maurice.pauwels@keerpuntscholen.be,ln4vGRwI
chloe.peeters,Chloé,Peeters,leerling,Geraardsbergen,2A,chloe.peeters@keerpuntscholen.be,dRVsNx8W
eloise.peeters,Eloïse,Peeters,leerling,Hasselt,1A,eloise.peeters@keerpuntscholen.be,jel8DZj9
jade.peeters,Jade,Peeters,leerling,Herselt,1A,jade.peeters@keerpuntscholen.be,Vp6k2Cyp
julia.peeters,Julia,Peeters,leerling,Houthalen,5A,julia.peeters@keerpuntscholen.be,HC3eBPJz
juliette.peeters,Juliette,Peeters,leerling,Mol,3A,juliette.peeters@keerpuntscholen.be,56BIsuSF
romee.peeters,Romée,Peeters,leerling,Turnhout,2B,romee.peeters@keerpuntscholen.be,gR0Qh9HW
tuur.peeters,Tuur,Peeters,leerling,Gent,5A,tuur.peeters@keerpuntscholen.be,2cYpe6yh
chloe.smets,Chloé,Smets,leerling,Oudenaarde,2B,chloe.smets@keerpuntscholen.be,7rLi4p6X
jeanne.smets,Jeanne,Smets,leerling,Brussel,1B,jeanne.smets@keerpuntscholen.be,bCZhl1Pn
louise.smets,Louise,Smets,leerling,Geraardsbergen,3A,louise.smets@keerpuntscholen.be,tCMS9S2l
maria.smets,Maria,Smets,leerling,Hasselt,5A,maria.smets@keerpuntscholen.be,3bxY1a5N
millie.smets,Millie,Smets,leerling,Herselt,1A,millie.smets@keerpuntscholen.be,iTGSA7u2
nour.smets,Nour,Smets,leerling,Houthalen,4A,nour.smets@keerpuntscholen.be,aZa9joj0
remi.smets,Remi,Smets,leerling,Mol,3A,remi.smets@keerpuntscholen.be,uwI5KZ3W
tuur.smets,Tuur,Smets,leerling,Turnhout,4A,tuur.smets@keerpuntscholen.be,Yy1Lx8of
alexander.van.damme,Alexander,Van Damme,leerling,Gent,3A,alexander.van.damme@keerpuntscholen.be,3YDRrmrC
estelle.van.damme,Estelle,Van Damme,leerling,Oudenaarde,5A,estelle.van.damme@keerpuntscholen.be,PaqLA5kt
gabriel.van.damme,Gabriel,Van Damme,leerling,Brussel,3A,gabriel.van.damme@keerpuntscholen.be,cNaRVm7n
lia.van.damme,Lia,Van Damme,leerling,Geraardsbergen,6A,lia.van.damme@keerpuntscholen.be,77p923Zv
leonie.vermeulen,Leonie,Vermeulen,leerling,Hasselt,3A,leonie.vermeulen@keerpuntscholen.be,0h2n6xjS
ada.willems,Ada,Willems,leerling,Herselt,4A,ada.willems@keerpuntscholen.be,RZ59RDMu
chloe.willems,Chloé,Willems,leerling,Houthalen,3A,chloe.willems@keerpuntscholen.be,aKkK2V1s
leonie.willems,Leonie,Willems,leerling,Mol,5A,leonie.willems@keerpuntscholen.be,i0JYo8Ob
livia.willems,Livia,Willems,leerling,Turnhout,6A,livia.willems@keerpuntscholen.be,TBAD6hNm
noe.willems,Noé,Willems,leerling,Gent,6A,noe.willems@keerpuntscholen.be,vP7Xemas
rosalie.willems,Rosalie,Willems,leerling,Oudenaarde,3A,rosalie.willems@keerpuntscholen.be,8W5k3Fh8
amelia.wouters,Amelia,Wouters,leerling,Brussel,2B,amelia.wouters@keerpuntscholen.be,WjYpdT6i
hamza.wouters,Hamza,Wouters,leerling,Geraardsbergen,4A,hamza.wouters@keerpuntscholen.be,EWLP0yWi
levi.wouters,Levi,Wouters,leerling,Hasselt,2A,levi.wouters@keerpuntscholen.be,HzLq43rE
louise.wouters,Louise,Wouters,leerling,Herselt,3A,louise.wouters@keerpuntscholen.be,Y7jNpJdP
gabriel.aerts,Gabriel,Aerts,mentor,Gent,,gabriel.aerts@keerpuntscholen.be,ry3mm1LU
leonie.claes,Leonie,Claes,mentor,Oudenaarde,,leonie.claes@keerpuntscholen.be,6mzNElce
cilou.de.clercq,Cilou,De Clercq,mentor,Brussel,,cilou.de.clercq@keerpuntscholen.be,hnpYK5kC
millie.desmet,Millie,Desmet,mentor,Geraardsbergen,,millie.desmet@keerpuntscholen.be,WZLgU979
august.diallo,August,Diallo,mentor,Hasselt,,august.diallo@keerpuntscholen.be,OQ1DbG5x
lewis.diallo,Lewis,Diallo,mentor,Herselt,,lewis.diallo@keerpuntscholen.be,kHlqsj8O
mila.diallo,Mila,Diallo,mentor,Houthalen,,mila.diallo@keerpuntscholen.be,ctWJyRY1
eva.dubois,Eva,Dubois,mentor,Mol,,eva.dubois@keerpuntscholen.be,81PXzPQu
lio.dubois,Lio,Dubois,mentor,Turnhout,,lio.dubois@keerpuntscholen.be,R6IKTQfR
finn.jacobs,Finn,Jacobs,mentor,Gent,,finn.jacobs@keerpuntscholen.be,2Z0y1yja
viktor.jacobs,Viktor,Jacobs,mentor,Oudenaarde,,viktor.jacobs@keerpuntscholen.be,DdXMLU8z
gabriel.lambert,Gabriel,Lambert,mentor,Brussel,,gabriel.lambert@keerpuntscholen.be,sWWMn2d1
cas.martens,Cas,Martens,mentor,Geraardsbergen,,cas.martens@keerpuntscholen.be,A3nmz51Y
cezanne.martens,Cézanne,Martens,mentor,Hasselt,,cezanne.martens@keerpuntscholen.be,oFJGRIw5
ellie.martens,Ellie,Martens,mentor,Herselt,,ellie.martens@keerpuntscholen.be,9b4MxcAl
noe.martens,Noé,Martens,mentor,Houthalen,,noe.martens@keerpuntscholen.be,mMlHZ7k5
gust.mertens,Gust,Mertens,mentor,Mol,,gust.mertens@keerpuntscholen.be,3LZjVfhK
leonie.smets,Leonie,Smets,mentor,Turnhout,,leonie.smets@keerpuntscholen.be,9jD6FH16
eva.van.damme,Eva,Van Damme,mentor,Gent,,eva.van.damme@keerpuntscholen.be,7udEUcPs
marie.vermeulen,Marie,Vermeulen,mentor,Oudenaarde,,marie.vermeulen@keerpuntscholen.be,7WI8Ozfj
